"","Q5","Q6","Q7_1","Q7_2","Q7_3","Q7_4","Q7_5","Q7_6","Q8_1","Q8_2","Q8_3","Q8_4","Q8_5","Q8_7","Q8_8","Q8_9","Q8_10","Q9_1","Q9_2","Q9_3","Q9_4","Q9_5","Q9_6","Q9_7","Q9_8","Q9_9","Q9_10","Q9_11","Q9_12","Q9_13","Q10_1","Q10_2","Q10_3","Q10_4","Q10_5","Q10_6","Q10_7","Q10_8","Q10_9","Q10_10","Q10_11","Q10_12","Q10_13","Q10_14","Q10_15","Q11_1","Q11_2","Q11_3","Q11_4","Q11_5","Q11_6","Q11_11","Q11_12","Q11_7","Q11_8","Q11_9","Q11_10","Q15_1","Q15_2","Q15_3","Q15_4","Q15_5","Q15_6","Q15_7","Q15_8","Q15_9","Q15_10","Q15_11","Q15_12","Q15_13","Q15_14","Q15_15","Q15_16","Q15_17","Q15_18","Q15_19","Q15_20","Q15_21","Q15_22","Q15_23","Q16","Q17","Q18","Q19","Q20","Q22","Q23","Q26","Q28","currency","tot_spent_usd","spent_mon","spent_ord"
"25","7","6","0","0","1","1","0","0","1","1","1","0","0","1","0","1","0","1","1","1","0","1","1","1","1","0","0","1","0","0","1","0","0","1","1","1","1","0","0","1","0","0","0","0","0","0","1","1","0","1","0","1","1","1","0","1","0","1","0","0","1","1","0","1","1","0","1","0","1","1","0","0","1","0","0","0","1","0","1","0","2",32,"3","6","4","1","5","1","5","CNY",10.2,1,"5+"
"26","4","2","0","0","1","1","0","0","0","0","1","1","1","1","0","1","0","1","1","0","0","1","0","0","1","1","0","1","0","0","1","0","0","1","1","0","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","1","0","0","0","1","0","0","0","0","0","1","0","0","0","1","0","0","0","1","0","1","0","2",17,"1","3","2","7","2","4","2","BRL",1.62,1,"<5"
"27","2","1","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","2",27,"1","5","3","4","6","3","4","CAD",1.58,1,"0"
"28","8","5","0","1","0","1","1","0","0","1","1","0","0","1","0","0","0","1","0","1","0","0","1","1","0","0","1","0","0","0","0","0","1","1","1","0","0","1","0","1","0","0","1","1","0","0","0","0","1","0","0","1","1","0","0","0","0","0","1","0","1","0","0","0","1","0","0","0","0","0","0","0","1","1","0","0","1","0","0","0","1",29,"3","6","4","1","5","1","5","CNY",18,1,"<5"
"29","2","1","0","0","0","0","1","0","1","0","0","0","0","0","1","1","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","1","0","0","1","0","0","1","1","0","0","0","0","0","1","1","0","1","0","0","0","1","0","0","0","1","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","1","0","1",44,"3","10","8","4","3","1","6","EUR",9.36,1,"5+"
"30","7","4","0","1","0","1","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","1","0","0","0","1","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1",51,"3","1","8","4","6","1","12","USD",1,1,"5+"
"31","7","3","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","1","0","0","1","0","1","0","1","1","1","0","1","0","1","0","1","0","1","0","1",18,"2","9","7","1","5","4","7","INR",1.3,1,"5+"
"32","5","2","0","1","1","0","1","0","0","1","1","1","1","1","1","1","0","1","1","0","0","0","1","0","1","0","1","0","0","0","1","0","0","0","0","0","1","0","0","0","0","1","1","1","0","1","0","1","0","1","0","0","1","0","1","1","0","0","1","0","0","0","1","0","0","0","0","0","1","0","0","0","1","0","0","1","0","0","1","0","2",39,"4","12","10","3","4","2","9","MXN",1.715,1,"5+"
"33","3","2","0","1","1","0","1","0","0","0","0","1","0","1","0","0","0","1","0","0","0","1","0","0","1","1","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","1","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","1","0","0","0","0","0","1","1","0","0","0","2",27,"2","4","14","4","1","2","3","GBP",1.3365,1,"<5"
"34","7","3","0","0","1","1","1","0","0","0","1","1","1","1","0","0","0","1","0","1","0","1","0","1","1","1","1","0","0","0","1","1","0","0","1","0","1","1","1","0","1","1","1","0","0","0","0","1","0","1","1","1","1","1","0","0","0","1","1","0","1","0","1","0","1","0","1","1","1","0","0","0","1","0","1","0","1","1","1","0","1",25,"2","12","10","3","5","1","9","MXN",4.116,1,"<5"
"35","3","2","0","1","0","1","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","1","1","1","1","0","0","0","0","0","0","1","0","1","0","1","0","0","0","0","0","1","0","0","0","0","1","0","0","1","0","1","0","0","0","0","0","0","0","0","1","1","1","0","0","1","0","1","1","0","0","1","0","0","1","0","0","1","0","2",22,"2","4","14","4","5","6","3","GBP",2.7,1,"5+"
"36","4","2","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","1","1","0","0","0","0","0","0","1","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","2",16,"2","6","4","1","2","4","5","RMB",45,1,"0"
"37","7","4","0","1","0","1","1","0","0","0","1","1","0","1","1","0","0","1","0","0","0","1","0","1","0","0","1","0","0","0","1","0","1","0","0","0","1","1","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","1","1","0","1","1","1","0","1","1","1","0","0","1","1","0","1","0","2",42,"3","6","4","1","5","1","5","CNY",1.5,1,"<5"
"38","4","1","0","1","1","0","1","0","0","0","0","1","0","1","0","1","0","1","0","0","0","1","1","1","1","1","0","1","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","1","0","0","0","1","0","0","1","1","0","0","0","2",27,"2","4","14","1","6","1","3","GBP",9.45,1,"<1"
"39","3","2","0","1","0","0","1","0","0","0","1","0","1","1","1","1","0","1","1","0","0","1","1","0","1","0","1","0","1","0","1","0","1","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","1","1","1","1","1","0","0","0","0","1","0","0","1","0","0","0","0","0","0","1","0","1","0","0","1","0","0","1","1","1","1","0","2",65,"2","12","10","5","5","8","9","MXN",0.098,1,"5+"
"40","2","1","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1",55,"3","10","8","4","6","1","6","EUR",0,0,"5+"
"41","5","2","0","1","1","1","0","0","0","0","1","0","0","1","0","1","0","1","1","0","1","1","1","1","1","1","0","1","0","0","0","0","1","1","1","0","1","0","0","0","1","0","1","0","0","0","1","1","0","1","0","0","0","1","0","1","0","1","1","0","1","1","1","1","1","1","0","1","1","1","0","0","0","0","0","1","1","1","0","0","2",27,"1","16","1","1","6","1","1","AUD",6.4728,1,"<1"
